pattern,tag,response
hi,greeting,"Hello! I can help you with anything regarding the college."
hello,greeting,"Hi there! How can I assist you today?"
hey,greeting,"Hey! I am here to help you with college queries."
hlo,greeting,"Hi! I can answer your questions about the college."
whatsup,greeting,"Nothing much! How can I assist you today?"
howdy,greeting,"Howdy! I can guide you about the college facilities."
greetings,greeting,"Greetings! Let me know your college-related questions."
good morning,greeting,"Good morning! How can I assist you with college info?"
good afternoon,greeting,"Good afternoon! What would you like to know about the college?"
good evening,greeting,"Good evening! Feel free to ask about college facilities."
hello there,greeting,"Hello there! How can I assist with your college queries?"
hi there,greeting,"Hi there! Ask me anything about the college."
hey there,greeting,"Hey there! Ready to help you with college information."
morning,greeting,"Morning! What college info do you need today?"
evening,greeting,"Good evening! How may I assist you with your questions?"
afternoon,greeting,"Good afternoon! How can I help you regarding college?"
hiya,greeting,"Hiya! What's your college question?"
sup,greeting,"Sup! How can I help with college details?"
yo,greeting,"Yo! Need help with anything college-related?"
hello friend,greeting,"Hello friend! How can I support you about the college?"
whats going on,greeting,"Not much! How can I assist regarding college?"
nice to meet you,greeting,"Nice to meet you! How can I help you today?"
welcome,greeting,"Welcome! Feel free to ask about the college."
how are you,greeting,"I'm good, thank you! How can I help you with college queries?"
pleased to meet you,greeting,"Pleased to meet you! What do you want to know about the college?"
good day,greeting,"Good day! Let me know how I can assist with college info."
greetings and salutations,greeting,"Greetings and salutations! What college info do you require?"
hey buddy,greeting,"Hey buddy! Here to help you with the college."
hello buddy,greeting,"Hello buddy! Ask me your college questions."
what's up,greeting,"What's up? How can I serve your college info needs?"
alright,greeting,"Alright! How can I assist you regarding college?"
hey there,greeting,"Hey there! Need help with any college matter?"
hiya friend,greeting,"Hiya friend! What would you like to know about the college?"
hey pal,greeting,"Hey pal! How may I assist you today?"
hows it going,greeting,"How's it going? I can help you with college info."
hiya mate,greeting,"Hiya mate! Ask anything about the college."
hola,greeting,"Hola! How can I assist you with college queries?"
bonjour,greeting,"Bonjour! Need help with something related to college?"
ciao,greeting,"Ciao! How may I help you with college information?"
wassup,greeting,"Wassup! How can I assist you today?"
hey dude,greeting,"Hey dude! Let me know your college questions."
